Order_Title,Details,Start_Time,Location
Cikgu taman bidara,"
40 org 6.00 ptg
1. Nasi putih
2. Gulai lemak  nangka
3. Ayam goreng berempah
4. Teh tarik
5. Ulam2an
6. Sambal belacan
7. Ikan masin bulu ayam.
RM 13.00 x 40 = RM 520.0
",2024-03-23T18:00:00+08:00,Taman bidara bumbung biru
Azizi masjid amaniah ,"50 org 6.30 ptg
  01. mee rebus pak tam",2024-03-23T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Azizi masjid amaniah ,"50 org 6.30 ptg (BUNGKUS)
MENU 10
•Nasi Putih
•Ayam Masak Lemak Kuning
•Terong Masak Cili
•Ulam + Sambal Belacan
RM 10.00
",2024-03-24T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Azizi masjid amaniah ,"50 org 6.30 ptg (BUNGKUS)
MENU 11
.Nasi Putih
•Kurma Daging/Ayam 
•Sayur Campur
•Ulam + Sambal Belacan
RM 10.00",2024-03-25T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Fareez klang,"1) en fareez (klang)

Tarikh: 26/3/2024 - RABU

Alamat : 
Shell freemay enterprise
Lot 230, Lebuhraya Selat Klang Utara
42100 Klang Selangor, Malaysia

Bawa meja buffet

50 pax

Menu: 
Nasi Putih 
Kari Daging dan kentang
Udang goreng kunyit 
Pucuk paku masak lemak 
Ayam sambal 
Ulam Sambal Belacan (Tak mau daun salad)
Buah 
Limau Assam Boi 
Teh Tarik
RM 25/pax

Pelayan - 1
RM 100


Bayaran penuh selewat - lewatnya 3 hari SEBELUM majlis

*Zulja Quality Enterprise*
CIMB BANK
8000 828 762",2024-03-26T18:00:00+08:00,"Shell freemay enterprise Lot 230, Lebuhraya Selat Klang Utara 42100 Klang Selangor, Malaysia"
Azizi masjid amaniah ,"50 org 6.30 ptg (BUNGKUS)
MENU 12
•Nasi Putih
•Ikan Goreng Bercili
•Masak Lemak Fucuk + So’un + Kentang 
•Ulam + Sambal Belacan
RM 11.00",2024-03-26T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Azizi masjid amaniah ,"50 org 6.30 ptg
  01. Bihun goreng spore 
  02. Ayam goreng kunyit",2024-03-27T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Azizi masjid amaniah ,"50 org 6.30 ptg
MENU 13
. Nasi putih
.Kari daging
.Telur dadar
.ulam sambal belacan
RM 10.00",2024-03-28T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Mad bapak pika,"Acik ahmad(bapak pika)
Nak sewa
Meja petak - 4
Kerusi plastik (kalau ada kerusi cantik nak cantik) - 12
Nak kain sekali - alas meja, sarung kerusi",2024-03-29T16:00:00+08:00,No Location
Azizi masjid amaniah ,"50 org 6.30 ptg
MENU 14
. Nasi beriani 
. Ayam ros
. Dalca sayur
. Acar
RM 10.00",2024-03-29T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Alia quraisyah,"50 pax

nasi putih 
ayam goreng rempah
Masak daging salai lemak cili api + kentang - hiris nipis2
Sambal udang - 60 org
ulam ulam daun + timun
buah tembikai + tembikai susu + rockmelon
teh o panas
sirap limau ais

Tepung pelita 70",2024-03-30T14:00:00+08:00,No Location
Azizi masjid amaniah ,"50 org 6.30 ptg
MENU  15
Nasi putih
Masak Lemak ayam 
Sambal tempe 
Ulam sambal belacan 
RM 10.00",2024-03-30T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Hj rosli,"Vip 4 meja..rm 400.00
Dome 4 buah
Bawa meja buffet dan skirting
BUAT 2 STESEN MAKANAN
BERBUKA
300 org 7.00 ptg
  01. Nasi beriani
  02. Ayam masak merah
  03. Dalca
  04. Papadom
  05. Acar 
  06. Buah
  07. Air sirap
  08. Kuih 2 jenis

MOREH
100 org 9.00 mlm
  01. Bubur kacang kurang manis
  02. Teh o

Rm 17 x 300
Pramusaji 2 org..rm 200
Total rm 5000.00",2024-03-31T18:30:00+08:00,Surau al makmur tmn gembira kuchai lama
Azizi masjid amaniah ,"50 org 6.30 ptg
MENU 16
  01. Nasi beriani
  02. Ayam masak merah
  03. Dalca
  04. Papadom
RM 10.00",2024-03-31T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Azizi masjid amaniah ,"50 org 6.30 ptg
MENU 02/04:
•Nasi Putih
•Masak Lemak Nenas
•Ayam Goreng Berempah
•Ulam + Sambal Belacan
RM 10.00

",2024-04-01T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Menara mps,"40 hidang
60 buffet

Majlis Berbuka Puasa JPK

Tarikh : 2/4/24 (selasa)
Tempat : Lobi Menara MPS

Jumlah : 100 pax
Hidang - 40
Buffet - 60

Menu :
1. Nasi putih
2. ⁠masak lemak ayam
3. ⁠sambal ikan kembung
4. ⁠sayur campur
5. ⁠ikan masin
6. ⁠air sejuk 
7. ⁠air tea tarik
",2024-04-02T16:30:00+08:00,No Location
Azizi masjid amaniah ,"50 org 6.30 ptg 
MENU 01/04:
•Nasi Tomato
•Ayam Masak Merah
•Acar Timun
•Dalca Sayur
RM 10.00

",2024-04-02T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Kak liza tok midin,"Menu 3/4 utk 80 org

Nasi putih
Ayam goreng(tigh&peha)
Kari daging + rebung
Keli berlado
Kentang goreng cili
Msk lemak telur itik + belimbing (30 org)
Sayur buncis goreng(30 org)
Ulam (mcm haritu)
Sambal belacan

Air kopi
Sirap limau

Pisang
Tembikai

Cara manis
Akok
Lepat pisang
Cara berlauk
Popia sira
Karamel
Semua 80 bj",2024-04-03T13:00:00+08:00,No Location
Azizi masjid amaniah ,"50 org 6.00 ptg
MENU 03/04:
•Nasi Putih
•Asam Pedas Ikan Pari
•Sayur Kacang Panjang
•Ulam + Sambal Belacan
RM 11.00

",2024-04-03T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Azizi masjid amaniah ,"50org 6.30 ptg
MENU 04/04:
•Nasi Putih
•Masak Lemak Kobis + Carrot 
•Ikan Goreng Sambal
•Ulam + Sambal Belacan
RM 11.00

",2024-04-04T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Azizi masjid amaniah ,"50 org 6.30 ptg 
MENU 05/04:
•Nasi Putih
•Tomyam Campur
•Telor Dadar
•Ulam + Sambal Belacan
RM 10.00
",2024-04-05T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Azizi masjid amaniah ,"50 org 6.30 ptg
MENU 06/04:
.Nasi Putih
•Kurma Ayam 
•Sayur Campur
•Ulam + Sambal Belacan
RM 10.00
",2024-04-06T18:30:00+08:00,Surau Al Abrar Taman Selayang 
Halimah kuala selangor,"Alas meja 60
Pagi guna pinggan dan cawan pakai buang
Ptg guna cawan dan piring pakai buang
Tengahari guna pinggan biasa
Tema warna gold

650 org
2 x mkn
Ni menunya

Pagi
  1)nasi impit
  2) kuah kacang
  3) rendang
  4) teh tarik
  5) kopi o
  6) air kosong
Rm 15.00

Tengah hari
  1) nasi putih
  2) masak lemak nenas 
     Ikan masin
  3) ayam masak merah
  4) sup cendawan + beola
  5) ikan goreng gelama/
     Kerisi/sardin 
  6) ikan masin bulu ayam
  7) sambal belacan/
      Tempoyak
  8) ulam ( timun, daun 
     Selom, ulamraja)
  9)buah oren
  10) air sirap
       Appel asam boi
  11) teh o
Rm 20.00

Petang
  1) air teh o
Rm 1.00
  
Pramusaji seting dll
10 org x rm 100

Total rm 24400.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2024-04-13T07:00:00+08:00,No Location
CUTI,No Details,2024-04-14T14:00:00+08:00,No Location
Ustaz aidil,Rendang paru ...cili api,2024-04-15T10:00:00+08:00,No Location
Cuti,No Details,2024-04-15T14:00:00+08:00,No Location
Usop & santo meeting @trx,No Details,2024-04-16T13:00:00+08:00,No Location
CUTI,No Details,2024-04-16T14:00:00+08:00,No Location
Cuti,No Details,2024-04-17T14:00:00+08:00,No Location
Dato bandar arip,"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 13/2024*
- *18/4/2023(Khamis)*
- *Jam 3.00 petang - 7.00 petang*
- *Chair :DATUK BANDAR*
-*Bilik Putra, Tingkat 29, Menara DBKL 1*

*Makan Petang*
-70 pax
*Rate RM15.00*
-*Ready makanan Jam 1.30 petang*

*Makanan*
- Nasi Impit + Kuah Lodeh + Paru Goreng + Sambal
- ⁠2 Jenis Kuih
- Buah-buahan
- Titbids (mix nuts)
*(makanan adalah pack food tetapi susunkan/hidang terus atas meja meeting sama macam makan pagi selalu buat tu)*
*(sekiranya ada lebih yang tidak muat, boleh letakkan di meja ruang legar tingkat 29)*

*Minuman Panas*
teh tarik & kopi O
*(hidang dlm bilik meeting dan sekiranya tidak muat, boleh letakkan di meja ruang legar tkt 29)
-Air mineral - 20 (letak diruang legar tkt 29)

(Untuk thermos yg letak di ruang legar sediakan paper cup)

*Bawa 2 buah jug untuk isi air kosong bersama-sama 1 GELAS UNTUK DATUK BANDAR dan letakkan dalam bilik mesyuarat putra (ambil air kosong dari mesin Cuckoo Tingkat 29)*

** List makanan di atas boleh diubah mengikut kesesuaian budget dan pihak katering sendiri.",2024-04-18T13:00:00+08:00,No Location
"Kak liza denai alam santo, amy dan satu lagi","Meja + damas + alas = 10
Kerusi + alas + reben = 100

Meja buffet bawak lebih. Ada org sponsor rojak n cendol

KENDI JANGAN LUPA
Tisu
Sudu garpu
Pinggan gelas
Colour gold
Tissue kotak
Air mineral - 2 kotak

SET DOME - 2 set

Menu 18/4 pukul 6 (80 org)
Set nasi lemak
   Timun
    Ikan bilis
    Kacang 
    Telor rebus
    Sambal ikan bilis
Ayam goreng(kecil2)
Paru goreng cili
Sambal sotong kembang
Kangkong rebus(30 org)

Mee goreng - 40 pax

Nasi himpit
Rendang daging
Lodeh(20 org)

Teh tarik
Laici aiskrim soda
Air mineral (dah tulis kat atas jugak)

Pisang",2024-04-18T17:00:00+08:00,No6 jalan elektron U16/61 Denai Alam Shah Alam
Dato bandar,"60 org buffet
4 org hidang

Menu Pagi
Ready makanan 7.30 pagi
- Roti jala + kari ayam
- 2 jenis kuih :    1) Kuih bakar  2) Kaswi gedik
- Buah-buahan
- Air Panas : Kopi O &  Teh Tarik

Menu Tengahari  
Ready makanan 11.00 pagi
- Nasi putih
 - Ayam masak lemak cili api
- Ikan keli bercili
- Sayur campur 
-  Air kordial sejuk

** Air Mineral 60 botol (botol kecil 350ml)
 ** Makan buffet
** Makan hidang untuk 4 orang
Unit OSC 2, TINGKAT BAWAH, MENARA DBKL 2",2024-04-19T17:00:00+08:00,No Location
"Kak liza denai alam santo, arip dan amy","Meja 10
KENDI JANGAN LUPA
Tisu
Sudu garpu
Pinggan gelas
Colour gold

Menu Jumaat 19/4 utk 90 org
Nasi ayam
  Ayam
  Sop
  Salad n timun
  Kicap n sos cili

Bihun sup utara - daging
Sos merah

Nasi himpit 
Lemang(7 btg)
Rendang ayam
Daging hitam
Lodeh(20 org)

Teh tarik
Soda laici

Pisang",2024-04-19T17:00:00+08:00,No Location
Ustaz aidil,"8 set meja makan
Kerusi 64 tanpa sarung

50 org 6.00 ptg
Nasi tomato
Ayam masak merah / ayam grg berempah
Daging kari campur kentang
Acar timun
Buah
Air kordial
Teh tarik
",2024-04-19T18:00:00+08:00,Taman bullion mewah
Kak salbiah (zaidul),"Tambahan
4 meja makan untuk 8 org..
Rm 200.00

100 org 11.00 pagi
Nasi tomato
Ayam masak merah
Kari rebong madu ngan daging campur tulang
Sayur campur( kobis/brocoli/carrot)
Ayam goring kunyit
Papadom
Air sirap/orange
Air teh tarik 2 bekas

RM 24.00 x 100 org
Waiters 1 rm 100.00
Meja 4 buah rm 200.00

Total rm 2700.00
Tarikh : Sabtu 20/4/2024",2024-04-20T09:00:00+08:00,Kg Melayu kepong 
Kak liza denai alam santo amy,"Makan pukul - 2 start

2 dome
Meja 12
Tissue kotak - 12
Air mineral botol besar - 2 kotak

Lilin dome


Menu Sabtu 20/4 utk 100 org

Nasi ayam
  Ayam
  Sop
  Salad n timun
  Kicap n sos cili

Bihun sup

Spaghetti aglio olio seafood (50pax)

Nasi himpit 
Lemang(7 btg)
Rendang ayam
Daging hitam
Lodeh(20 org)

Teh tarik
Soda laici

Pisang

Meja 12 (2 dome 10 biasa)
Colour merah",2024-04-20T11:00:00+08:00,No Location
Haji ismail perkim,"3 orang pelayan

Warna krim untuk meja buffet

Assalamualaikum
Menu penuh untuk majlis pada 20/4/2024
2 - 6 petang

300 pax
Menu 6
Nasi putih
Nasi beriani
Ayam masak merah
Daging kuzi
Dalca
Jelatah
Buah-buahan
Air oren
RM 17/pax

Tambahan

50 pax
Set nasi impit
Kuah lodeh
Kuah kacang
Sambal bilis
RM 12/pax 

50 pax
Set laksa
RM 8/pax
",2024-04-20T13:00:00+08:00,KOLEJ KOMUNITI TINGKAT 2
Nurul ashikin 0 13-333 1321,"Seorang pelayan

1 khemah full set - helmi
1 industrial fan - helmi 
RM 730

100 org 3.00 petang
  01. Nasi beriani
  02. Dalca
  03. Ayam goreng rempah
  04. Daging hitam
  05. Acar buah
  06. Buah
  07. Air sirap limau
RM 15.00
  08. Teh tarik
RM 1.50 

50 pax
  09. Lemang
  10. Rendang daging
RM 10/pax

Pelayan - RM 100 (seorang)

Jumlah : 1650 + 500 + 730 + 100 = RM 2980.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2024-04-20T15:00:00+08:00,"Pavilion level 3A,infiniti3 residence,jalan seri wangsa 2,53300 kuala lumpur"
Nadia public gold (KIV),"MEJA UNTUK HIDANGAN SEMUA KENA BAWAK SENDIRI

AIR MINERAL BETUL - 50 botol
NAK DAUN PISANG UNTUK LAPIK NASIK

3 MEJA VIP - DOME

PINGGAN MANGKUK GUNA PAKAI BUANG

1000 pax
NASI TOMATO
AYAM MASAK MERAH
KAMBING MASAK HITAM
DALCA SAYUR
ACAR JELATAH
BUAH-BUAHAN POTONG
MINUMAN SIRAP SARBAT
MINUMAN TEH TARIK
MINUMAN PLAIN WATER + LEMON SLICES

BUNGKUS 50 PAX (ambik dr makanan 1000)
Lauk sama, air mineral

ASSORTED KUIH RAYA
(50 BALANG)

SET KETUPAT RENDANG (FIRST SESSION) - LIVE SESSION

KETUPAT PALAS UTARA (300 PAX)
LEMANG (300 PAX)
RENDANG AYAM (600 PAX)0

LIVE STATION 
KETUPAT LEMANG RENDANG
ABC/AIS KACANG - 500 pax
KUIH RAYA - 50 balang
",2024-04-21T07:00:00+08:00,Menara trx level 2
Dato bandar ( Amy pi belajar buat kat DBKL),"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 14/2024*
- *23/4/2024(Selasa)*
- *Jam 8.30 malam*
- *Chair :DATUK BANDAR*
-*Bilik Putra, Tingkat 29, Menara DBKL 1*

*Menu Makan Malam*
-70 pax

Makanan Malam
*Rate RM25.00*
-*Ready makanan Jam 6.00 Petang*

- Nasi Impit + Kuah kacang
- Lemang
- Rendang Ayam
- Buah-buahan
*70 pax (50 hidang dalam bilik mesy & 20 pax bungkus - letak di ruang legar tkt 29)*

-teh tarik & kopi O
-Air panas - 50 hidang dlm bilik mesy. (sekiranya tidak muat, boleh letakkan di meja ruang legar tkt 29)
-Air mineral - 20 (letak diruang legar tkt 29)

(Untuk thermos yg letak di ruang legar sediakan paper cup)

*Bawa 2 buah jug untuk isi air kosong bersama-sama 1 GELAS UNTUK DATUK BANDAR dan letakkan dalam bilik mesyuarat putra (ambil air kosong dari mesin Cuckoo Tingkat 29)*
** menu terpulang pada katerer .. boleh ubah ikut budget yang sesuai",2024-04-23T14:00:00+08:00,No Location
Cery may bank ( khairi),"Tarikh: 24/4/2024
Waktu makan : 10 pg

Lokasi: 
Maybank 
CBC JLN PUDU
3 FLOOR, JLN PUDU, KL


Menu

60 pax
Nasi beriani
Ayam masak merah
Ikan dorry sweet sour
Acar jelatah
Papedom
Minuman panas : Teh tarik
RM 17/pax x 60 = RM 1020

Roti jala
Kari ayam
RM 5/pax
RM 300

Rendang ayam - RM 6/pax
RM 360.00

Kuih koci - 30
Kuih bakar kemboja - 30
RM 60

Pelayan (1) : RM 100

Total: RM 1840.00

Bayaran penuh selewat - lewatnya 3 hari SEBELUM majlis

*Zulja Quality Enterprise*
CIMB BANK
8000 828 762",2024-04-24T11:00:00+08:00,"Maybank  CBC JLN PUDU 3 FLOOR, JLN PUDU, KL"
Haneem (datang ambil),"Rendang daging 3 kilo
Rendang ayam seekor
Ketupat ori 4
Ketupat jagung 2",2024-04-24T18:00:00+08:00,No Location
dato bandar,"Tempahan Makanan Mesyuarat
Mesyuarat Jawatankuasa Pusat Setempat 2 (JKPS2) Bil. 15/2024
- 26.4.2024 (Jumaat)  -  3.00 petang – 5.30 petang
- Pengerusi : PENGARAH EKSEKUTIF (PERANCANGAN)  
- Bilik Mesyuarat Utama, Urus Setia Pusat Setempat (OSC), Menara DBKL 2

Menu Petang
Ready makanan 2.00 ptg
-	Mee goreng mamak + telur mata
-	Kuih 2 jenis
-	Buah potong
-	Air kotak

 ** Makan bungkus 60 pax individu
Unit OSC 2, TINGKAT BAWAH, MENARA DBKL 2",2024-04-26T11:00:00+08:00,No Location
Noraini 28/4,"Salam acik. Harga yg acik minta smlm

1.Ketupat palas 5 kg (RM 42 x5 = RM 210)
2.Daging Masak hitam 3kg - RM 210.00
3.Rendang daging 3kg RM 225.00
4.

Total: RM 1545.00",2024-04-27T06:00:00+08:00,Willow Hall Forest Valley Cheras
Kak liza denai alam ( santo amy arip bangla),"Tisu kotak - 12
Air mineral botol besar - 2 kotak


Menu 27/4 pukul 12 pm
Utk 70 org

Nasi putih
Ayam msk merah( tigh n peha)
Daging msk lemak ngan kentang
Keli berlado
Paru goreng cili
Kobis goreng( 20 org)
Pucuk ubi msk lemak(30 org)
Ulaman n sambal belacan

Air selangor
Teh tarik

Tembikai
Bubur pisang( 20 org)

Meja 10
Kaler biru muda

Xtra buffet table
Tpt basuh tangan
Tisu
Air mineral",2024-04-27T09:00:00+08:00,No Location
Azlina (zaidul) 0123590674 azlina,"Bawa meja buffet 
70 org 11.00 pagi
  01. Nasi minyak
  02. Ayam masak merah
  03. Daging masak hitam
  04. Dalca
  05. Air kordial

Rm 15.00
Waiter rm 100.00
",2024-04-27T11:00:00+08:00,"No.23, Jalan DC 1/3A, Danau Ceria, Bandar Gamuda Garden, 48050 Rawang, Selangor"
Kak mona ( raju),"Tahlil arwah :-
Hari :- Sabtu 27.04.2024
Waktu:- Lepas Maghrib
Jemputan: 40 pax

Bawa meja buffet
Pelayan sorang

Menu:-
i) Nasi Putih
ii) Sayur Jawa (jangan letak hati/pedal)
iii) Daging Masak Lemak
iv) Ayam Masak Merah
v) air teh tarik",2024-04-27T19:00:00+08:00,"C41, jalan mp42, Matang pagar, 47000 sg buloh, Selangor"
Noraini,"Ayam goreng berempah 150 ketul - RM 900
Kuah kacang  2 kg",2024-04-28T07:00:00+08:00,No Location
Hazim,Masak kambing untuk dibekukan. Dia nak ambik 3/5,2024-04-28T10:00:00+08:00,No Location
Syam bodykit RT 1441 ( zaidul dan kawan),"PAKEJ AIDILFITRI 2
300 pax

Nasi tomato 50%
Nasi putih 50%
Ayam masak merah
Dalca sayur
Buah-buahan
Minuman kordial
Teh tarik

Nasi impit
Kuah kacang
Rendang daging

Waiter 1 org
",2024-04-28T10:00:00+08:00,"SHAM BODYKIT 28, Jalan Samudra Barat 3, Samudra Industrial Park  68100 Batu Caves ."
Ridzuan+60 12-335 0219 ( arip 3 org),"Meja dan seting semua dah siap
Bawa kendi dan tong basuh tangan
350 org 
Menu
  01. Nasi putih
  02. Ayam masak merah
  03. Daging masak kari + kentang
  04. Sambal belacan
  05. Sayur campur
  06. Buah 
  07. Air sirap limau
  08. Teh tarik 2 tong ...foc
RM 16/pax

Pramusaji 3 org 
Makanan rm 5600.00
Pramusaji rm 300.00

Total rm 5900.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2024-04-28T10:00:00+08:00,"No 11 Jalan Pegaga U12/2C,Taman Desa Alam, Seksyen U12,40170 Shah Alam"
Regina  0 19-721 1023 ( Raju dan 2 kawan),"300 org 11.00 pagi
  01. Nasi minyak
  02. Nasi putih
  03. Ayam masak merah
  04. Daging kurma
  05. Dalca sayur
  06. Buah oren
  07. Air oren
RM 15.00 x 300 = RM 4500.00

Waiters 2
RM 200.00

Jumlah RM 4700.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2024-04-28T11:00:00+08:00,"Alamat : No 15, Jalan 50, Desa Jaya Kepong, 52100 Kuala Lumpur"
Nekmat,"29 April 2024 (Isnin)

80 orang

Nasi putih
Ikan sadin rebus goreng
Ayam masak lemak cili padi + kentang
Sayur Jawa
Budu Cicah 
Sambal belacan
Sambal tempoyak
Ulam2
Tembikai
Teh tarik
Air mineral
Rm 20",2024-04-29T22:00:00+08:00,No Location
Saiful 016 2643572...kwn ti ( zaidul),"100 org buffet 10 pagi

Nasi beriani 
Ayam masak merah 
Dalca ayam
Acar timun
Buah
Sirap limau 
Rm 14.00

50 org
Soto
Nasi impit
Rm 8.00
Waiters rm 200.00",2024-04-30T10:00:00+08:00,Menara public bank ting 13 jln ampang
Hani   013-361 9705,"HIDANG GUNA 4 DOM 
40 org 6.00 ptg 
MENU
01. Nasi beriani 
02. Dalca 
03. Ayam greng rempah 
04. Daging hitam
05. Jelatah 
06. Buah
07. Minuman sirap
RM 35.00
Waiter 2

JUMLAH 1400.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2024-04-30T17:00:00+08:00,Bekalan air selangor
Dato bandar ( santo),"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 15/2024*
- *30/4/2024(Selasa)*
- *Jam 9.30 pagi hingga 1.00 petang*
- *Chair :DATUK BANDAR*
-*Bilik Putra, Tingkat 29, Menara DBKL 1*

*Menu Makan Pagi dan Makan Tengah hari*
-70 pax

Makan Pagi
*Rate RM 15.00*
*Ready makan jam 8.00 pagi*

- Roti Bom + kari ayam
- Kuih 2 jenis
- Buah-buahan
- tidbits (mixnuts)
*70 pax (50 hidang dalam bilik mesy & 20 pax bungkus - letak di ruang legar tkt 29)*

-teh tarik & kopi O
-Air panas - 50 hidang dlm bilik mesy. (sekiranya tidak muat, boleh letakkan di meja ruang legar tkt 29)
-Air mineral - 20 (letak diruang legar tkt 29)

(Untuk thermos yg letak di ruang legar sediakan paper cup)

*Bawa 2 buah jug untuk isi air kosong bersama-sama 1 GELAS UNTUK DATUK BANDAR dan letakkan dalam bilik mesyuarat putra (ambil air kosong dari mesin Cuckoo Tingkat 29)*

Makanan Tengahari
*Rate RM25.00*
-*Ready makanan Jam 11.00 Pagi*

- Nasi Putih
- Sambal Udang
- Ikan Selar Goreng
- Sayur campur goreng
- Buah-buahan
*(60 pack food dan letak kan di perkarangan tkt 29)*
*(10 hidangan dengan dome : makanan hidangan buatkan set RM20.00 (adjust lauk tu jadikan harga rm20) dan RM5.00 caj untuk dome (total RM25.00) - hidang di bilik jamuan tingkat 29)*
Jumlah keseluruhan makan adalah untuk 70 orang (10 hidang dome + 60 pack food)

-Air kordial sejuk & Air Cuckoo - *(untuk 10 orang dalam bilik jamuan tkt 29)*
-Air mineral - *(untuk 60 orang pack food)*

** menu terpulang pada katerer .. boleh ubah ikut budget yang sesuai",2024-04-30T23:00:00+08:00,No Location
Farah  0 12-655 1775 ( budak arip 4 ),"PAKEJ AIDILFITRI 3

KENA AWAI!!!!
BAWAK KENDI - 11

Pelayan - 3 orang
Warna nude juga

200 org 10.00 pg - 4 ptg*
Menu
  01. Nasi Daging + nasi putih 10%
  02. Daging rebus
  03. Air asam
  04. Rendang ayam
  05. Dalca sayur
  05. Daging masak hitam...100 org
  06. Buah-buahan
  07. Sirap sarbat
  08. Teh tarik
  09. Agar-agar
  10. Teh o

  10. Nasi impit
  11. Kuah kacang
  12. Kuah lodeh
  13. Sambal bilis
RM 30.00 x 200 = RM 6000.00
Set bihun sup utara.. 100 org daging..70 org
Rm 800                          ayam...30 org

*Tambahan  - 100 org*
💠Set bihun sup utara 70% Daging 30% Ayam RM 800.00
💠4 jenis kuih melayu RM 400.00
- kaswi gedik
- kuih bakar kemboja
- popia sira
- cara berlauk
💠Lemang 1/2, palas 1/2         RM 1200.00
💠daging masak hitam
     Air mineral botol besar - 1 kotak

*Lain2*
💠Sate - 600 ayam 400 daging.
600 x RM 1.50 = RM 900.00
400 x RM 1.60 = RM 640.00

Tambahan sate
Ayam - 25
Daging - 25",2024-05-01T10:00:00+08:00,"No 12, Jln Eco Majestic 6/1B, Eco Majestic, Semenyih, "
Marfuah +60 17-434 2282 ( Amy dan santo),"- date: 1st may 2024
- ⁠time: 10 am - 3pm (2 session)
- ⁠venue: 39, jalan Denai amaryllis 1, Tamansari, 48020 Rawang 
- ⁠2 orang staff 
- ⁠tema warna : nude
- meja buffet kena bawak (2 tempat buffet)

Set meja panjang (12 seater) - 
RM 100/set x 2 set
Meja 12 x 3 kaki
Alas damas
Table top warna nude
Kerusi plastic (12)
Sarung kerusi
Ribbon warna nude
Kipas industrial 1

Menu - 

150 orang
Nasi Daging
Daging rebus
Air asam
Rendang ayam
Dalca sayur
Buah-buahan
Minuman kordial
Teh tarik - separuh
Kopi o - separuh
Agar-agar

100 orang
Nasi impit
Kuah kacang
Kuah lodeh
Sambal bilis

Total: 
Makanan = RM 4150.00
Pelayan = RM 200
Meja = RM 200
Kipas = ",2024-05-01T10:00:00+08:00,"39, jalan Denai amaryllis 1, Tamansari, 48020 Rawang "
Cik ros,"Kalau nak ambik  menu .mcm.ni je blh.x

Nasi daging
Daging rebus
Air asam
Dalca sayur

Untuk 30 pax  1.5.2024",2024-05-01T11:30:00+08:00,No Location
En zuhir 0122371984,"200 org 6.00 ptg 
  01. Nasi himpit
  02. Rendang ayam
  03. Kuah kacang

  04. Nasi tomato
  O5… Ayam masak merah
  06. Acar timun
  07. Air sirap
  08. Teh tarik 100 foc
RM 20.00 

JUMLAH RM 4000.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2024-05-01T18:00:00+08:00,Surau Firdaus taman bidara 
Kak cah felcra ( zaidul),"100 pax
8 pagi (pukul 10 dah kena siap hidang)

Nasi minyak
Ayam ros
Daging masak hitam
Dalca
Acar jelatah
Buah
Teh tarik
Air sirap laici kordial

RM 16/pax 
RM 1600

Pelayan - RM 100

Total: RM 1700",2024-05-02T08:00:00+08:00,Felcra
 Beli tray pakai buang 5,No Details,2024-05-03T04:30:00+08:00,No Location
Anuar,"Ketupat
Rendang",2024-05-03T07:00:00+08:00,No Location
Cik siti ,"Ketupat palas siap masak 2 kg

Rendang daging 5 kg

Nasi impit mini 50 biji

Kuah kacang 2 kg",2024-05-03T11:00:00+08:00,Kdn putrajaya (lalamove)
